date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:31:08	21004/21004	---M-Z	200	added ('OK')	application/x-javascript	etag:%22520c-5ea863da-fc2a1;gz%22	https://demo.graygrids.com/themes/classified/assets/js/popper.min.js	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/js/popper.min.js	(from https://demo.graygrids.com/themes/classified/index.html)
01:31:09	58072/58072	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e2d8-5ea863d9-fc2a7;gz%22	https://demo.graygrids.com/themes/classified/assets/js/bootstrap.min.js	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/js/bootstrap.min.js	(from https://demo.graygrids.com/themes/classified/index.html)
01:31:09	42863/42863	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a76f-5ea863da-fc2aa;gz%22	https://demo.graygrids.com/themes/classified/assets/js/slick.min.js	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/js/slick.min.js	(from https://demo.graygrids.com/themes/classified/index.html)
01:31:09	20216/20216	---M-Z	200	added ('OK')	application/x-javascript	etag:%224ef8-5ea863d5-fc2a4;gz%22	https://demo.graygrids.com/themes/classified/assets/js/jquery.magnific-popup.min.js	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/js/jquery.magnific-popup.min.js	(from https://demo.graygrids.com/themes/classified/index.html)
01:31:09	2942/2942	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b7e-5ea863d7-fc2a2;gz%22	https://demo.graygrids.com/themes/classified/assets/js/jquery.nice-select.min.js	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/js/jquery.nice-select.min.js	(from https://demo.graygrids.com/themes/classified/index.html)
01:31:10	8044/8044	---M-Z	200	added ('OK')	application/x-javascript	etag:%221f6c-5ea863d8-fc2a5;gz%22	https://demo.graygrids.com/themes/classified/assets/js/waypoints.min.js	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/js/waypoints.min.js	(from https://demo.graygrids.com/themes/classified/index.html)
01:31:10	1067/1067	---M-Z	200	added ('OK')	application/x-javascript	etag:%2242b-5ea863db-fc2a3;gz%22	https://demo.graygrids.com/themes/classified/assets/js/jquery.counterup.min.js	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/js/jquery.counterup.min.js	(from https://demo.graygrids.com/themes/classified/index.html)
01:31:11	41127/41127	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a0a7-5ea863d7-fc2a8;gz%22	https://demo.graygrids.com/themes/classified/assets/js/ion.rangeSlider.min.js	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/js/ion.rangeSlider.min.js	(from https://demo.graygrids.com/themes/classified/index.html)
01:31:11	665/665	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%224e1-5ea863d6-fc2a6;gz%22	https://demo.graygrids.com/themes/classified/assets/js/ajax-contact.js	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/js/ajax-contact.js	(from https://demo.graygrids.com/themes/classified/index.html)
01:31:11	2320/2320	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221058-5ea863d9-fc2a9;gz%22	https://demo.graygrids.com/themes/classified/assets/js/main.js	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/js/main.js	(from https://demo.graygrids.com/themes/classified/index.html)
01:31:12	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%22600efe61-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	C:/wamp64/www/classifieds/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://demo.graygrids.com/themes/classified/index.html)
01:31:13	126428/126428	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221eddc-5ea86405-fc2d9;gz%22	https://demo.graygrids.com/themes/classified/assets/fonts/fa-brands-400.eot	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/fonts/fa-brands-400.eot	(from https://demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css)
